ADCP gp140,IM mosaic vs IM239
R3A.3.SIVmac239.gp140,AE239 vs IM mosaic
aRhIgG.PE.low.SIVmac239.gp140.AVI.His,IM mosaic vs IM239
SIVmac239.gp140.HisAVI.IgA,AE239 vs IM mosaic
IFNγ,IM mosaic vs IM239
aRhIgG.PE.high.SIVsm.E660.84,IM mosaic vs IM239
rIgG_high.SIVmac239.gp130,IM mosaic vs IM239
V1a.SIV.gp120.biotinylated.peptide.IgA,AE239 vs IM mosai
aRhIgG.PE.low.G119,IM mosaic vs IM239
aRhIgG.PE.high.J08.V1V2.mac239.AVI.His,IM mosaic vs IM23
G2S1B,IM mosaic vs IM239
R2A.3.SIVmac239.gp130,IM mosaic vs IM239
aRhIgG.PE.high.C1.Ak,IM mosaic vs IM239
G2FB,IM mosaic vs IM239
G0F,AE239 vs IM239
R3A.3.SIVmac239.gp120,AE239 vs IM mosaic
R3A.3.SIVmac239.gp140.AVI.His,AE239 vs IM mosaic
rR3A.3.SIVmac239.gp140,AE239 vs IM239
hFcgRIIIb.SIVmac239.gp140,AE239 vs IM239
R3A.3.SIV.E543.gp140,AE239 vs IM mosaic
aRhIgG.PE.low.SIVmac239.gp140.AVI.His,AE239 vs IM mosaic
R2A.3.SIV.1A11.gp140,AE239 vs IM239
aRhIgG.PE.low.SIV.E543.gp140,IM mosaic vs IM239
aRhIgG.PE.low.C1.Ak,AE239 vs IM239
aRhIgG.PE.low.SIVsm.E660.84,AE239 vs IM mosaic
R3A.3.SIVmac239.gp120,AE239 vs IM239
rR3A.1.SIVsmE543.gp140,IM mosaic vs IM239
rIgG_high.SIVsmE543.gp140,IM mosaic vs IM239
